Município,Casos de HIV
110040 Alto Paraíso,1
110034 Alvorada D'Oeste,1
110002 Ariquemes,24
110045 Buritis,1
110060 Cacaulândia,1
110004 Cacoal,7
110080 Candeias do Jamari,9
110005 Cerejeiras,3
110007 Corumbiara,2
110008 Costa Marques,1
110009 Espigão D'Oeste,2
110010 Guajará-Mirim,15
110011 Jaru,7
110012 Ji-Paraná,18
110013 Machadinho D'Oeste,1
110033 Nova Mamoré,5
110143 Nova União,1
110015 Ouro Preto do Oeste,5
110018 Pimenta Bueno,2
110020 Porto Velho,197
110025 Presidente Médici,4
110026 Rio Crespo,1
110028 Rolim de Moura,3
110149 São Francisco do Guaporé,1
110032 São Miguel do Guaporé,1
110160 Theobroma,1
110170 Urupá,1
110175 Vale do Anari,1
110030 Vilhena,8
120005 Assis Brasil,1
120010 Brasiléia,3
120013 Bujari,1
120017 Capixaba,4
120020 Cruzeiro do Sul,4
120025 Epitaciolândia,2
120038 Plácido de Castro,3
120080 Porto Acre,1
120040 Rio Branco,41
120043 Santa Rosa do Purus,1
120050 Sena Madureira,5
120045 Senador Guiomard,3
120060 Tarauacá,1
120070 Xapuri,1
130014 Apuí,6
130030 Autazes,2
130040 Barcelos,2
130050 Barreirinha,7
130068 Boa Vista do Ramos,2
130080 Borba,5
130083 Caapiranga,1
130110 Careiro,5
130115 Careiro da Várzea,2
130120 Coari,8
130130 Codajás,2
130160 Fonte Boa,1
130170 Humaitá,7
130180 Ipixuna,1
130185 Iranduba,13
130190 Itacoatiara,10
130230 Jutaí,1
130240 Lábrea,2
130250 Manacapuru,5
130255 Manaquiri,1
130260 Manaus,1065
130270 Manicoré,2
130280 Maraã,1
130290 Maués,5
130310 Nova Olinda do Norte,8
130320 Novo Airão,2
130330 Novo Aripuanã,2
130340 Parintins,9
130353 Presidente Figueiredo,7
130356 Rio Preto da Eva,2
130380 São Gabriel da Cachoeira,1
130390 São Paulo de Olivença,3
130406 Tabatinga,3
130410 Tapauá,2
130420 Tefé,3
130426 Uarini,2
130430 Urucará,1
130000 Município ignorado - AM,1
140005 Alto Alegre,1
140010 Boa Vista,153
140015 Bonfim,1
140017 Cantá,1
140020 Caracaraí,4
140028 Iracema,1
140030 Mucajaí,4
140045 Pacaraima,2
140047 Rorainópolis,3
140060 São Luiz,2
150010 Abaetetuba,34
150020 Acará,3
150030 Afuá,2
150040 Alenquer,9
150050 Almeirim,1
150060 Altamira,18
150070 Anajás,1
150080 Ananindeua,179
150085 Anapu,6
150090 Augusto Corrêa,9
150095 Aurora do Pará,1
150100 Aveiro,1
150120 Baião,4
150130 Barcarena,19
150140 Belém,801
150145 Belterra,3
150150 Benevides,25
150157 Bom Jesus do Tocantins,2
150160 Bonito,2
150170 Bragança,34
150172 Brasil Novo,3
150178 Breu Branco,9
150180 Breves,6
150190 Bujaru,11
150200 Cachoeira do Arari,4
150195 Cachoeira do Piriá,4
150210 Cametá,4
150215 Canaã dos Carajás,14
150220 Capanema,12
150230 Capitão Poço,4
150240 Castanhal,54
150250 Chaves,2
150260 Colares,2
150270 Conceição do Araguaia,4
150276 Cumaru do Norte,1
150277 Curionópolis,3
150280 Curralinho,5
150290 Curuçá,7
150293 Dom Eliseu,11
150295 Eldorado dos Carajás,8
150304 Floresta do Araguaia,2
150307 Garrafão do Norte,2
150309 Goianésia do Pará,3
150320 Igarapé-Açu,7
150330 Igarapé-Miri,10
150345 Ipixuna do Pará,4
150350 Irituia,2
150360 Itaituba,39
150370 Itupiranga,9
150375 Jacareacanga,3
150380 Jacundá,11
150390 Juruti,9
150400 Limoeiro do Ajuru,1
150405 Mãe do Rio,8
150410 Magalhães Barata,1
150420 Marabá,69
150430 Maracanã,7
150440 Marapanim,7
150442 Marituba,43
150445 Medicilândia,7
150450 Melgaço,1
150460 Mocajuba,4
150470 Moju,13
150480 Monte Alegre,1
150490 Muaná,7
150497 Nova Ipixuna,4
150500 Nova Timboteua,1
150503 Novo Progresso,11
150506 Novo Repartimento,18
150510 Óbidos,15
150520 Oeiras do Pará,1
150530 Oriximiná,10
150540 Ourém,4
150543 Ourilândia do Norte,3
150548 Pacajá,5
150549 Palestina do Pará,1
150550 Paragominas,22
150553 Parauapebas,95
150570 Ponta de Pedras,14
150580 Portel,1
150600 Prainha,2
150610 Primavera,3
150611 Quatipuru,1
150613 Redenção,19
150618 Rondon do Pará,5
150619 Rurópolis,2
150620 Salinópolis,17
150630 Salvaterra,12
150635 Santa Bárbara do Pará,4
150640 Santa Cruz do Arari,1
150650 Santa Isabel do Pará,20
150655 Santa Luzia do Pará,2
150658 Santa Maria das Barreiras,1
150660 Santa Maria do Pará,8
150670 Santana do Araguaia,2
150680 Santarém,117
150700 Santo Antônio do Tauá,5
150710 São Caetano de Odivelas,6
150715 São Domingos do Araguaia,5
150720 São Domingos do Capim,4
150730 São Félix do Xingu,7
150740 São Francisco do Pará,6
150745 São Geraldo do Araguaia,7
150746 São João da Ponta,4
150747 São João de Pirabas,4
