Município,Casos de Tuberculose
110001 Alta Floresta D'Oeste,9
110034 Alvorada D'Oeste,2
110002 Ariquemes,43
110045 Buritis,4
110003 Cabixi,1
110004 Cacoal,28
110080 Candeias do Jamari,5
110090 Castanheiras,1
110005 Cerejeiras,5
110092 Chupinguaia,1
110007 Corumbiara,2
110094 Cujubim,3
110009 Espigão D'Oeste,4
110100 Governador Jorge Teixeira,1
110010 Guajará-Mirim,18
110110 Itapuã do Oeste,3
110011 Jaru,9
110012 Ji-Paraná,25
110013 Machadinho D'Oeste,4
110120 Ministro Andreazza,1
110130 Mirante da Serra,3
110140 Monte Negro,3
110014 Nova Brasilândia D'Oeste,4
110033 Nova Mamoré,5
110015 Ouro Preto do Oeste,7
110018 Pimenta Bueno,6
110146 Pimenteiras do Oeste,1
110020 Porto Velho,547
110025 Presidente Médici,3
110028 Rolim de Moura,2
110148 São Felipe D'Oeste,1
110149 São Francisco do Guaporé,1
110032 São Miguel do Guaporé,2
110155 Teixeirópolis,1
110160 Theobroma,3
110170 Urupá,2
110175 Vale do Anari,1
110030 Vilhena,18
120001 Acrelândia,3
120005 Assis Brasil,14
120010 Brasiléia,7
120013 Bujari,8
120017 Capixaba,1
120020 Cruzeiro do Sul,36
120025 Epitaciolândia,8
120033 Mâncio Lima,4
120034 Manoel Urbano,1
120038 Plácido de Castro,7
120080 Porto Acre,7
120040 Rio Branco,320
120043 Santa Rosa do Purus,3
120050 Sena Madureira,4
120045 Senador Guiomard,9
120060 Tarauacá,1
120070 Xapuri,3
130002 Alvarães,3
130006 Amaturá,2
130008 Anamã,6
130014 Apuí,5
130020 Atalaia do Norte,5
130030 Autazes,59
130040 Barcelos,5
130050 Barreirinha,6
130060 Benjamin Constant,17
130063 Beruri,3
130068 Boa Vista do Ramos,6
130070 Boca do Acre,33
130080 Borba,13
130083 Caapiranga,3
130090 Canutama,3
130100 Carauari,3
130110 Careiro,4
130115 Careiro da Várzea,3
130120 Coari,30
130130 Codajás,3
130140 Eirunepé,14
130150 Envira,4
130160 Fonte Boa,6
130170 Humaitá,22
130180 Ipixuna,7
130185 Iranduba,10
130190 Itacoatiara,33
130195 Itamarati,5
130200 Itapiranga,2
130210 Japurá,1
130220 Juruá,2
130230 Jutaí,2
130240 Lábrea,11
130250 Manacapuru,60
130260 Manaus,2581
130270 Manicoré,17
130290 Maués,28
130300 Nhamundá,9
130310 Nova Olinda do Norte,8
130320 Novo Airão,3
130330 Novo Aripuanã,7
130340 Parintins,45
130350 Pauini,4
130353 Presidente Figueiredo,12
130356 Rio Preto da Eva,3
130360 Santa Isabel do Rio Negro,6
130370 Santo Antônio do Içá,5
130380 São Gabriel da Cachoeira,30
130390 São Paulo de Olivença,5
130395 São Sebastião do Uatumã,2
130400 Silves,26
130406 Tabatinga,45
130410 Tapauá,3
130420 Tefé,34
130423 Tonantins,1
130430 Urucará,4
130440 Urucurituba,3
140005 Alto Alegre,1
140010 Boa Vista,155
140017 Cantá,1
140020 Caracaraí,1
140047 Rorainópolis,3
140060 São Luiz,1
150010 Abaetetuba,60
150013 Abel Figueiredo,2
150020 Acará,8
150034 Água Azul do Norte,1
150040 Alenquer,13
150050 Almeirim,8
150060 Altamira,44
150070 Anajás,5
150080 Ananindeua,335
150085 Anapu,5
150090 Augusto Corrêa,10
150095 Aurora do Pará,5
150100 Aveiro,1
150110 Bagre,3
150120 Baião,13
150130 Barcarena,69
150140 Belém,1722
150145 Belterra,3
150150 Benevides,40
150157 Bom Jesus do Tocantins,1
150160 Bonito,5
150170 Bragança,55
150172 Brasil Novo,9
150178 Breu Branco,12
150180 Breves,31
150190 Bujaru,10
150200 Cachoeira do Arari,5
150195 Cachoeira do Piriá,3
150210 Cametá,62
150215 Canaã dos Carajás,21
150220 Capanema,30
150230 Capitão Poço,21
150240 Castanhal,104
150250 Chaves,1
150260 Colares,4
150270 Conceição do Araguaia,1
150275 Concórdia do Pará,8
150276 Cumaru do Norte,1
150277 Curionópolis,5
150280 Curralinho,7
150285 Curuá,2
150290 Curuçá,21
150293 Dom Eliseu,8
150295 Eldorado do Carajás,3
150300 Faro,1
150307 Garrafão do Norte,3
150309 Goianésia do Pará,4
150310 Gurupá,4
150320 Igarapé-Açu,14
150330 Igarapé-Miri,24
150340 Inhangapi,5
150345 Ipixuna do Pará,2
150350 Irituia,5
150360 Itaituba,46
150370 Itupiranga,13
150375 Jacareacanga,24
150380 Jacundá,8
150390 Juruti,10
150400 Limoeiro do Ajuru,2
150405 Mãe do Rio,13
150410 Magalhães Barata,3
